variable,coef,pvalue,abs_coef
DP03_0038E,-0.011286773390427943,0.9999820306498828,0.011286773390427943
DP04_0080M,0.011191444393572286,0.9999938555738063,0.011191444393572286
DP04_0046M,0.011191429811622028,0.999993855581315,0.011191429811622028
DP04_0090M,0.011191274874438132,0.9999938556662843,0.011191274874438132
DP02_0067E,-0.01105510787779463,0.9999923126268251,0.01105510787779463
DP04_0008M,-0.011027457639484376,0.9999981511837207,0.011027457639484376
DP04_0106E,-0.010897921109105726,0.9999924907718472,0.010897921109105726
DP03_0037E,0.010877691433593746,0.9999846339819565,0.010877691433593746
DP04_0118M,-0.010831811949225154,0.9999984646679057,0.010831811949225154
DP05_0048E,-0.010727560554964053,0.9999912215443373,0.010727560554964053
DP03_0122PM,-0.010617652726870874,0.9999999743756355,0.010617652726870874
DP03_0028E,-0.010574025081386555,0.9999817674016519,0.010574025081386555
DP02_0140M,-0.010563515514889812,0.9999969575182373,0.010563515514889812
DP03_0059E,-0.010427181214616823,0.9999935990333557,0.010427181214616823
DP02_0128E,-0.010417919097104527,0.9999911921781383,0.010417919097104527
DP03_0033E,-0.01038343165253042,0.999986542756448,0.01038343165253042
DP04_0036E,-0.010308487368944508,0.9999885139199448,0.010308487368944508
DP02_0077PE,0.010300605373921294,0.999997015856128,0.010300605373921294
DP02_0077E,0.010296720417662348,0.9999970169653815,0.010296720417662348
DP02_0115E,-0.010002484440111137,0.9999917007239122,0.010002484440111137
DP04_0044E,0.009944773190418005,0.9999918636265182,0.009944773190418005
DP03_0114E,-0.009922238327360427,0.9999875259541701,0.009922238327360427
DP03_0114PE,-0.00992109315729603,0.9999875272728579,0.00992109315729603
DP02_0142E,0.009855272343707927,0.9999907290000994,0.009855272343707927
DP02_0137M,-0.009740532152485945,0.9999966350129871,0.009740532152485945
DP04_0067E,0.009714410735425848,0.9999965192232512,0.009714410735425848
DP03_0007M,0.009703520416839168,0.9999989789724725,0.009703520416839168
DP02_0132E,-0.009697911109316521,0.9999869426731414,0.009697911109316521
DP02_0083E,0.009585958225747409,0.9999938161985685,0.009585958225747409
DP04_0007M,-0.009388365041634875,0.9999984648965172,0.009388365041634875
DP03_0031M,-0.009334980130953394,0.9999982081714943,0.009334980130953394
DP03_0096E,0.009284448387551433,0.9999956020543127,0.009284448387551433
DP03_0045E,0.009270461647192738,0.9999879747980146,0.009270461647192738
DP05_0038E,-0.009267821460150916,0.9999980934203885,0.009267821460150916
DP03_0035E,-0.009201982915098314,0.9999741940778418,0.009201982915098314
DP05_0015M,-0.009174513750303953,0.9999991014843379,0.009174513750303953
DP04_0130M,-0.009172989711051523,0.9999987522027555,0.009172989711051523
DP02_0148E,-0.009120865550010562,0.9999936382092971,0.009120865550010562
DP03_0029E,-0.009026652063461583,0.9999838173068213,0.009026652063461583
DP04_0042M,-0.009011088840908968,0.9999984009415771,0.009011088840908968
DP02_0056M,0.008944351939122491,0.9999984627166502,0.008944351939122491
DP04_0112E,-0.008930424440623043,0.9999938135091281,0.008930424440623043
DP04_0136E,-0.008910341144638532,0.9999927133749522,0.008910341144638532
DP04_0136PE,-0.008889880854519465,0.9999927301170499,0.008889880854519465
DP03_0098E,-0.008888353125869752,0.9999825095750994,0.008888353125869752
DP05_0084E,-0.00878706731290133,0.9999979809454672,0.00878706731290133
DP03_0043M,-0.00875605990284091,0.9999983118570963,0.00875605990284091
DP03_0034E,0.008737546279746197,0.9999912669716025,0.008737546279746197
DP03_0103E,-0.00847859123200884,0.9999877569609193,0.00847859123200884
DP04_0139E,-0.00847458237580773,0.9999946615906923,0.00847458237580773
DP03_0103PE,-0.008450923668937417,0.9999877948825577,0.008450923668937417
DP03_0050E,0.008449290072348535,0.999998846988405,0.008449290072348535
DP04_0019E,0.008383529107945351,0.9999794739426242,0.008383529107945351
DP05_0003E,-0.008382456999017348,0.9999941733415932,0.008382456999017348
DP04_0084M,0.008263880690297716,0.9999988190452237,0.008263880690297716
DP02_0044E,0.0082101180069825,0.9999914596529644,0.0082101180069825
DP02_0044PE,0.008208505347946234,0.9999914614549672,0.008208505347946234
DP04_0141E,-0.00819967430431661,0.9999960544414683,0.00819967430431661
DP04_0132E,0.008119552315679596,0.9999970486863007,0.008119552315679596
DP03_0064E,0.008065819076853059,0.9999919417865442,0.008065819076853059
DP05_0012E,0.007998554539791897,0.9999990909106606,0.007998554539791897
